iter	RMSE
0	9.916499514
1	9.53125823
2	9.164580671
3	8.835885983
4	8.515360702
5	8.218791791
6	7.937375734
7	7.669199465
8	7.430560953
9	7.197472639
10	6.983122618
11	6.795528612
12	6.610619086
13	6.429094199
14	6.281335465
15	6.127422364
16	5.975269177
17	5.854000518
18	5.742239153
19	5.616294558
20	5.49995454
21	5.401334274
22	5.305640959
23	5.208246514
24	5.124611001
25	5.054202192
26	4.974580346
27	4.916658097
28	4.853288143
29	4.8056009
30	4.748890629
31	4.701561921
32	4.645034963
33	4.606121262
34	4.561582641
35	4.530930897
36	4.487646357
37	4.440798563
38	4.408556049
39	4.379057409
40	4.347740176
41	4.30545146
42	4.274455588
43	4.253545762
44	4.225067352
45	4.203614497
46	4.18525269
47	4.163530241
48	4.149952854
49	4.13093031
50	4.115898079
51	4.101807485
52	4.092422646
53	4.063022586
54	4.049475993
55	4.040505299
56	4.028775411
57	4.019031759
58	4.011643672
59	4.003924327
60	3.991767108
61	3.986231504
62	3.981421545
63	3.972184917
64	3.960211638
65	3.954915306
66	3.949964882
67	3.945442362
68	3.937764675
69	3.931375325
70	3.928039054
71	3.917937471
72	3.910629692
73	3.90342844
74	3.896929113
75	3.886260541
76	3.88007249
77	3.875919989
78	3.864653903
79	3.860651693
80	3.850215307
81	3.839543483
82	3.831416949
83	3.827712043
84	3.823983059
85	3.818336483
86	3.813380976
87	3.79963704
88	3.794789767
89	3.786207527
90	3.783388053
91	3.759693396
92	3.75556269
93	3.750820664
94	3.74573334
95	3.742816577
96	3.735667306
97	3.731711458
98	3.723888651
99	3.718999346
100	3.707635428
101	3.689091126
102	3.686967249
103	3.685650186
104	3.679276055
105	3.67481457
106	3.667749526
107	3.649922283
108	3.646008383
109	3.643520645
110	3.636789788
111	3.632943868
112	3.626424929
113	3.623787714
114	3.617700148
115	3.613620698
116	3.60906385
117	3.60444332
118	3.601909753
119	3.59973687
120	3.596402898
121	3.59406831
122	3.590862764
123	3.584985713
124	3.582208179
125	3.560177943
126	3.556819778
127	3.55354428
128	3.551991569
129	3.547948968
130	3.542471981
131	3.534752855
132	3.529826346
133	3.524574454
134	3.520481312
135	3.513603588
136	3.507041763
137	3.501897545
138	3.499518249
139	3.494260516
140	3.492241765
141	3.487679981
142	3.480792395
143	3.476763851
144	3.47225386
145	3.470018522
146	3.462636363
147	3.459504893
148	3.453658417
149	3.449513624
150	3.444812155
151	3.439465466
152	3.434391233
153	3.430287301
154	3.429007271
155	3.426853531
156	3.420813847
157	3.413907196
158	3.411196569
159	3.408024803
160	3.400609653
161	3.397866588
162	3.38507702
163	3.368692693
164	3.365813432
165	3.360823532
166	3.358864279
167	3.353014697
168	3.340642337
169	3.33715129
170	3.329844747
171	3.326286745
172	3.317649126
173	3.310460287
174	3.303342845
175	3.29885712
176	3.295009068
177	3.290656094
178	3.28455767
179	3.280188286
180	3.277555622
181	3.27392883
182	3.266718275
183	3.26109149
184	3.258514755
185	3.251138384
186	3.247281009
187	3.242436033
188	3.237952799
189	3.230920041
190	3.226704031
191	3.218273182
192	3.214524154
193	3.21214099
194	3.205276515
195	3.198455546
196	3.194943607
197	3.190228666
198	3.184453644
199	3.172505095
200	3.164271324
201	3.161003397
202	3.158465993
203	3.1526086
204	3.149160391
205	3.141469562
206	3.132985849
207	3.125688264
208	3.123727605
209	3.11907268
210	3.11101522
211	3.106733202
212	3.100696243
213	3.096586477
214	3.091036231
215	3.088670575
216	3.085001784
217	3.07585652
218	3.068857346
219	3.063930839
220	3.059252626
221	3.055429725
222	3.050596825
223	3.045587283
224	3.040998699
225	3.037011634
226	3.034388264
227	3.029969352
228	3.027817072
229	3.023763152
230	3.020026687
231	3.015870552
232	3.011703146
233	3.00615684
234	3.002392635
235	2.997642572
236	2.992763975
237	2.984525108
238	2.976366342
239	2.970617717
240	2.965198058
241	2.962455956
242	2.956366116
243	2.951723116
244	2.947227062
