iter	Passed	Remaining
0	7	2558
1	13	2237
2	20	2246
3	25	2124
4	32	2172
5	38	2121
6	44	2090
7	50	2082
8	57	2087
9	63	2068
10	68	2020
11	73	1989
12	79	1986
13	87	2008
14	93	1995
15	98	1978
16	106	1997
17	112	1993
18	119	1990
19	126	1997
20	132	1983
21	138	1977
22	144	1960
23	150	1953
24	155	1938
25	161	1928
26	167	1918
27	173	1910
28	181	1923
29	187	1912
30	193	1903
31	200	1903
32	207	1904
33	212	1891
34	219	1885
35	225	1875
36	230	1864
37	237	1861
38	242	1848
39	248	1837
40	253	1823
41	260	1823
42	267	1821
43	273	1815
44	280	1815
45	287	1809
46	293	1803
47	298	1792
48	305	1788
49	311	1782
50	317	1774
51	323	1767
52	329	1759
53	336	1755
54	341	1744
55	346	1734
56	353	1730
57	359	1723
58	365	1715
59	370	1705
60	376	1699
61	382	1690
62	389	1687
63	396	1684
64	402	1680
65	408	1669
66	415	1668
67	421	1662
68	426	1650
69	432	1644
70	437	1634
71	444	1629
72	450	1623
73	457	1620
74	463	1612
75	470	1609
76	475	1600
77	481	1593
78	487	1586
79	494	1581
80	498	1570
81	504	1562
82	510	1555
83	515	1547
84	520	1537
85	525	1528
86	531	1519
87	537	1513
88	542	1504
89	547	1496
90	553	1491
91	559	1484
92	567	1481
93	572	1475
94	578	1466
95	583	1457
96	589	1451
97	594	1443
98	599	1435
99	605	1428
100	610	1420
101	615	1412
102	622	1407
103	626	1398
104	633	1394
105	638	1386
106	645	1382
107	651	1375
108	656	1367
109	661	1359
110	666	1351
111	672	1344
112	678	1339
113	684	1333
114	690	1326
115	695	1319
116	700	1311
117	706	1304
118	711	1297
119	717	1290
120	722	1283
121	728	1278
122	734	1271
123	739	1264
124	745	1258
125	752	1254
126	758	1248
127	764	1241
128	770	1235
129	775	1228
130	781	1222
131	787	1216
132	793	1211
133	799	1205
134	806	1200
135	811	1193
136	817	1186
137	824	1182
138	828	1174
139	834	1168
140	841	1163
141	847	1157
142	853	1151
143	858	1145
144	864	1139
145	870	1133
146	877	1127
147	882	1121
148	887	1114
149	893	1108
150	899	1101
151	904	1094
152	910	1088
153	915	1082
154	921	1076
155	926	1069
156	932	1063
157	940	1059
158	946	1053
159	952	1047
160	960	1043
161	965	1036
162	970	1030
163	978	1026
164	983	1019
165	990	1014
166	995	1007
167	1001	1001
168	1009	997
169	1014	990
170	1021	985
171	1028	980
172	1035	975
173	1042	970
174	1048	964
175	1054	958
176	1059	951
177	1065	945
178	1071	939
179	1076	933
180	1081	926
181	1088	920
182	1095	915
183	1100	909
184	1106	902
185	1113	897
186	1118	891
187	1124	884
188	1129	878
189	1135	872
190	1141	866
191	1147	860
192	1153	854
193	1158	848
194	1165	842
195	1171	837
196	1177	830
197	1182	824
198	1189	819
199	1197	814
200	1203	808
201	1209	802
202	1214	795
203	1220	789
204	1225	783
205	1232	777
206	1238	772
207	1244	765
208	1251	760
209	1256	754
210	1263	748
211	1268	742
212	1275	736
213	1281	730
214	1286	724
215	1292	717
216	1298	711
217	1305	706
218	1311	700
219	1318	695
220	1324	689
221	1330	683
222	1335	676
223	1342	671
224	1348	665
225	1354	659
226	1360	653
227	1365	646
228	1371	640
229	1377	634
230	1382	628
231	1388	622
232	1394	616
233	1400	610
234	1406	604
235	1412	598
236	1418	592
237	1424	586
238	1429	580
239	1435	574
240	1441	568
241	1447	562
242	1454	556
243	1460	550
244	1467	544
245	1472	538
246	1477	532
247	1483	526
248	1490	520
249	1496	514
250	1502	508
251	1508	502
252	1514	496
253	1520	490
254	1525	484
255	1531	478
256	1537	472
257	1543	466
258	1549	460
259	1555	454
260	1561	448
261	1567	442
262	1573	436
263	1579	430
264	1586	425
265	1591	418
266	1597	412
267	1603	406
268	1609	400
269	1616	395
270	1622	389
271	1627	383
272	1635	377
273	1640	371
274	1646	365
275	1653	359
276	1659	353
277	1667	347
278	1673	341
279	1678	335
280	1684	329
281	1690	323
282	1696	317
283	1702	311
284	1708	305
285	1714	299
286	1722	294
287	1728	288
288	1734	282
289	1740	276
290	1746	270
291	1752	264
292	1759	258
293	1765	252
294	1771	246
295	1776	240
296	1782	234
297	1788	228
298	1794	222
299	1800	216
300	1807	210
301	1813	204
302	1819	198
303	1824	192
304	1830	186
305	1836	180
306	1841	173
307	1846	167
308	1853	161
309	1859	155
310	1865	149
311	1871	143
312	1877	137
313	1884	132
314	1889	125
315	1895	119
316	1901	113
317	1907	107
318	1913	101
319	1918	95
320	1924	89
321	1931	83
322	1937	77
323	1942	71
324	1948	65
325	1954	59
326	1960	53
327	1966	47
328	1972	41
329	1978	35
330	1985	29
331	1991	23
332	1997	17
333	2002	11
334	2009	5
335	2014	0
