Trial 0: RMSE = 1.809165137005204, Params = {'iterations': 262, 'depth': 6, 'learning_rate': 0.41595270063236317}
Trial 1: RMSE = 1.68953690831922, Params = {'iterations': 417, 'depth': 8, 'learning_rate': 0.01768396758511597}
Trial 2: RMSE = 1.8383541778963801, Params = {'iterations': 295, 'depth': 5, 'learning_rate': 0.47161992201172637}
Trial 3: RMSE = 1.7245172044316863, Params = {'iterations': 165, 'depth': 10, 'learning_rate': 0.23591081294855792}
Trial 4: RMSE = 1.7508922873970005, Params = {'iterations': 238, 'depth': 9, 'learning_rate': 0.012124778894508538}
Trial 5: RMSE = 1.7483996375633912, Params = {'iterations': 438, 'depth': 7, 'learning_rate': 0.30569018469644454}
Trial 6: RMSE = 1.6969253772566395, Params = {'iterations': 428, 'depth': 6, 'learning_rate': 0.028238741126604374}
Trial 7: RMSE = 1.7100346852791093, Params = {'iterations': 286, 'depth': 5, 'learning_rate': 0.08494811771900156}
Trial 8: RMSE = 1.6718037918262179, Params = {'iterations': 304, 'depth': 9, 'learning_rate': 0.10555169115274353}
Trial 9: RMSE = 1.6942387416253037, Params = {'iterations': 178, 'depth': 8, 'learning_rate': 0.04369812553459971}
Trial 10: RMSE = 1.8446030478560287, Params = {'iterations': 55, 'depth': 3, 'learning_rate': 0.11103921317105551}
Trial 11: RMSE = 1.6922175831600856, Params = {'iterations': 367, 'depth': 10, 'learning_rate': 0.01678601845086247}
Trial 12: RMSE = 1.6843097899445258, Params = {'iterations': 498, 'depth': 8, 'learning_rate': 0.13448167594860072}
Trial 13: RMSE = 1.6901851976638023, Params = {'iterations': 481, 'depth': 8, 'learning_rate': 0.149660431795037}
Trial 14: RMSE = 1.6649977831006113, Params = {'iterations': 364, 'depth': 9, 'learning_rate': 0.04913978400413512}
Trial 15: RMSE = 1.6644071503136162, Params = {'iterations': 336, 'depth': 9, 'learning_rate': 0.053113014594013165}
Trial 16: RMSE = 1.672761239398955, Params = {'iterations': 353, 'depth': 10, 'learning_rate': 0.04900162127565919}
Trial 17: RMSE = 1.6652205186266196, Params = {'iterations': 372, 'depth': 9, 'learning_rate': 0.054632450608030673}
Trial 18: RMSE = 1.7078027260807038, Params = {'iterations': 211, 'depth': 7, 'learning_rate': 0.029883638811874037}
Trial 19: RMSE = 1.8085590024721252, Params = {'iterations': 339, 'depth': 3, 'learning_rate': 0.029311555107560554}
Trial 20: RMSE = 1.7142871261058144, Params = {'iterations': 61, 'depth': 9, 'learning_rate': 0.06850055674989285}
Trial 21: RMSE = 1.6665483487762451, Params = {'iterations': 390, 'depth': 9, 'learning_rate': 0.0516792079524619}
Trial 22: RMSE = 1.67500480613565, Params = {'iterations': 349, 'depth': 10, 'learning_rate': 0.06384024360909922}
