Trial 0: RMSE = 1.849765546330498, Params = {'iterations': 98, 'depth': 4, 'learning_rate': 0.4321689780131532}
Trial 1: RMSE = 1.7315097513088304, Params = {'iterations': 366, 'depth': 10, 'learning_rate': 0.01603577328258156}
Trial 2: RMSE = 1.7121603978489368, Params = {'iterations': 406, 'depth': 9, 'learning_rate': 0.08359564727866385}
Trial 3: RMSE = 1.7804923939380437, Params = {'iterations': 233, 'depth': 4, 'learning_rate': 0.2758940134873735}
Trial 4: RMSE = 1.8018985614215974, Params = {'iterations': 334, 'depth': 4, 'learning_rate': 0.2954550992460326}
Trial 5: RMSE = 1.7123029862030215, Params = {'iterations': 276, 'depth': 4, 'learning_rate': 0.07782223377577499}
Trial 6: RMSE = 1.6695623116033398, Params = {'iterations': 363, 'depth': 6, 'learning_rate': 0.030906750776152573}
Trial 7: RMSE = 1.8253143883306207, Params = {'iterations': 256, 'depth': 4, 'learning_rate': 0.3503910380214704}
Trial 8: RMSE = 1.6808853052826482, Params = {'iterations': 429, 'depth': 5, 'learning_rate': 0.0387181346966712}
Trial 9: RMSE = 1.67375621497108, Params = {'iterations': 421, 'depth': 7, 'learning_rate': 0.05179334056952038}
Trial 10: RMSE = 1.6718159950356064, Params = {'iterations': 487, 'depth': 7, 'learning_rate': 0.011100149919838563}
Trial 11: RMSE = 1.67127692700491, Params = {'iterations': 498, 'depth': 7, 'learning_rate': 0.010768228581535552}
Trial 12: RMSE = 1.668915425798309, Params = {'iterations': 498, 'depth': 6, 'learning_rate': 0.026341926914594783}
Trial 13: RMSE = 1.680799918289729, Params = {'iterations': 154, 'depth': 6, 'learning_rate': 0.024772928063139098}
Trial 14: RMSE = 1.6701531211824765, Params = {'iterations': 321, 'depth': 6, 'learning_rate': 0.027364142248725732}
Trial 15: RMSE = 1.7201318148706892, Params = {'iterations': 452, 'depth': 8, 'learning_rate': 0.17750812721709117}
Trial 16: RMSE = 1.6979245894134667, Params = {'iterations': 197, 'depth': 5, 'learning_rate': 0.12300141536245572}
Trial 17: RMSE = 1.6925946738263635, Params = {'iterations': 372, 'depth': 8, 'learning_rate': 0.02212465888900564}
Trial 18: RMSE = 1.7526967509504472, Params = {'iterations': 320, 'depth': 3, 'learning_rate': 0.043904861702115223}
